Longitude,Latitude,Lote,Conjunto de datos,Producto,Id obj.,EC Sperficial(dS/m),EC SubSuperficial(dS/m),Elevation(m),(seco)Masa de rend.(tonne/ha),MO del suelo(%),pH del suelo((1))
-63.95628908,-31.31395351,1,nutrientes,NO Product,125,17.07,8.177,354.50,1.649,2.234,6.475
-63.95628908,-31.31377353,1,nutrientes,NO Product,126,16.83,7.923,354.53,1.408,2.211,6.479
-63.95628908,-31.31359354,1,nutrientes,NO Product,127,16.58,7.752,354.57,1.195,2.189,6.482
-63.95628908,-31.31341356,1,nutrientes,NO Product,128,16.53,7.605,354.60,1.194,2.168,6.484
-63.95628908,-31.31322457,1,nutrientes,NO Product,129,16.18,7.495,354.63,1.197,2.143,6.491
-63.95628908,-31.31305358,1,nutrientes,NO Product,130,15.79,7.373,354.64,1.262,2.128,6.492
-63.95627855,-31.31287360,1,nutrientes,NO Product,131,15.35,7.273,354.66,1.370,2.116,6.493
-63.95628908,-31.31268461,1,nutrientes,NO Product,132,14.77,7.089,354.70,1.315,2.109,6.492
-63.95628908,-31.31251363,1,nutrientes,NO Product,133,14.16,6.888,354.75,1.238,2.102,6.496
-63.95627855,-31.31233364,1,nutrientes,NO Product,134,13.73,6.708,354.80,1.095,2.099,6.501
-63.95628908,-31.31215366,1,nutrientes,NO Product,135,13.47,6.585,354.85,1.034,2.098,6.506
-63.95630761,-31.31195567,1,nutrientes,NO Product,136,13.24,6.495,354.92,0.820,2.101,6.513
-63.95629962,-31.31178469,1,nutrientes,NO Product,137,13.46,6.651,354.95,0.966,2.105,6.520
-63.95628908,-31.31160470,1,nutrientes,NO Product,138,13.84,6.825,354.97,0.985,2.100,6.549
-63.95627855,-31.31143371,1,nutrientes,NO Product,139,14.73,7.234,354.96,1.229,2.111,6.555
-63.95623066,-31.31119973,1,nutrientes,NO Product,140,15.22,7.378,354.91,1.300,2.125,6.561
-63.95625880,-31.31105574,1,nutrientes,NO Product,141,15.46,7.494,354.90,1.410,2.143,6.554
-63.95627495,-31.31088476,1,nutrientes,NO Product,142,15.52,7.543,354.88,1.463,2.160,6.563
-63.95627507,-31.31070477,1,nutrientes,NO Product,143,15.23,7.458,354.85,1.467,2.179,6.571
-63.95627803,-31.31052479,1,nutrientes,NO Product,144,15.11,7.445,354.82,1.549,2.197,6.579
-63.95628908,-31.31035380,1,nutrientes,NO Product,145,15.30,7.579,354.78,1.497,2.216,6.586
-63.95628908,-31.31016481,1,nutrientes,NO Product,146,15.77,7.886,354.74,1.585,2.232,6.590
-63.95627855,-31.30999383,1,nutrientes,NO Product,147,16.53,8.283,354.70,1.625,2.245,6.593
-63.95627723,-31.30980484,1,nutrientes,NO Product,148,17.46,8.842,354.67,1.585,2.254,6.592
-63.95627259,-31.30963386,1,nutrientes,NO Product,149,18.15,9.223,354.65,1.479,2.259,6.588
-63.95624287,-31.30945387,1,nutrientes,NO Product,150,18.25,9.353,354.62,1.440,2.260,6.581
-63.95623753,-31.30923789,1,nutrientes,NO Product,151,18.04,9.241,354.61,1.318,2.256,6.571
-63.95624989,-31.30909129,1,nutrientes,NO Product,152,17.34,8.847,354.58,1.228,2.250,6.560
-63.95623196,-31.30882888,1,nutrientes,NO Product,153,16.49,8.148,354.51,1.063,2.241,6.547
-63.95628908,-31.30873393,1,nutrientes,NO Product,154,15.83,7.780,354.47,1.057,2.232,6.533
-63.95628908,-31.30855394,1,nutrientes,NO Product,155,15.88,7.590,354.46,1.216,2.222,6.520
-63.95628908,-31.30837396,1,nutrientes,NO Product,156,16.14,7.619,354.47,1.283,2.213,6.508
-63.95627855,-31.30819397,1,nutrientes,NO Product,157,16.48,7.755,354.49,1.313,2.207,6.497
-63.95628908,-31.30801399,1,nutrientes,NO Product,158,16.87,7.915,354.51,1.314,2.204,6.489
-63.95628908,-31.30783400,1,nutrientes,NO Product,159,16.91,8.099,354.53,1.406,2.205,6.484
-63.95628908,-31.30764502,1,nutrientes,NO Product,160,16.60,8.218,354.55,1.386,2.209,6.481
-63.95627855,-31.30747403,1,nutrientes,NO Product,161,16.26,8.348,354.56,1.320,2.217,6.480
-63.95628908,-31.30729404,1,nutrientes,NO Product,162,15.76,8.345,354.58,1.314,2.228,6.481
-63.95628908,-31.30711406,1,nutrientes,NO Product,163,15.07,8.448,354.60,1.339,2.243,6.485
-63.95626655,-31.30695207,1,nutrientes,NO Product,164,15.07,8.302,354.65,0.393,2.260,6.489
-63.95627503,-31.30683535,1,nutrientes,NO Product,165,14.89,8.348,354.64,0.393,2.281,6.496
-63.95631054,-31.30594425,1,nutrientes,NO Product,166,15.11,7.768,354.32,1.181,2.388,6.533
-63.95628908,-31.30585416,1,nutrientes,NO Product,167,15.15,7.782,354.33,1.247,2.419,6.544
-63.95628908,-31.30566517,1,nutrientes,NO Product,168,15.29,7.698,354.32,1.296,2.452,6.555
-63.95628908,-31.30548519,1,nutrientes,NO Product,169,15.55,7.648,354.30,1.450,2.485,6.567
-63.95628908,-31.30531420,1,nutrientes,NO Product,170,15.90,7.617,354.27,1.476,2.519,6.577
-63.95628908,-31.30513422,1,nutrientes,NO Product,171,16.18,7.597,354.24,1.544,2.552,6.587
-63.95628908,-31.30494523,1,nutrientes,NO Product,172,16.28,7.593,354.20,1.524,2.585,6.594
-63.95628908,-31.30477425,1,nutrientes,NO Product,173,16.33,7.557,354.16,1.491,2.618,6.598
-63.95628908,-31.30458526,1,nutrientes,NO Product,174,16.26,7.564,354.12,1.476,2.650,6.600
-63.95628908,-31.30441428,1,nutrientes,NO Product,175,16.12,7.520,354.08,1.443,2.682,6.600
-63.95628908,-31.30423429,1,nutrientes,NO Product,176,15.99,7.492,354.03,1.437,2.715,6.597
-63.95628908,-31.30404530,1,nutrientes,NO Product,177,15.88,7.476,353.98,1.486,2.746,6.585
-63.95628908,-31.30387432,1,nutrientes,NO Product,178,15.78,7.469,353.94,1.582,2.781,6.577
-63.95628908,-31.30369433,1,nutrientes,NO Product,179,15.68,7.458,353.89,1.622,2.818,6.569
-63.95628908,-31.30350535,1,nutrientes,NO Product,180,15.71,7.513,353.85,1.606,2.863,6.567
-63.95628908,-31.30333436,1,nutrientes,NO Product,181,15.69,7.461,353.80,1.544,2.903,6.558
-63.95628908,-31.30314538,1,nutrientes,NO Product,182,15.58,7.373,353.75,1.515,2.948,6.554
-63.95628908,-31.30297439,1,nutrientes,NO Product,183,15.43,7.241,353.69,1.554,2.991,6.549
-63.95627855,-31.30279440,1,nutrientes,NO Product,184,15.41,7.190,353.62,1.642,3.033,6.547
-63.95628908,-31.30260542,1,nutrientes,NO Product,185,15.61,7.269,353.55,1.663,3.074,6.547
-63.95628908,-31.30242543,1,nutrientes,NO Product,186,16.28,7.629,353.48,1.857,3.103,6.546
-63.95628908,-31.30225445,1,nutrientes,NO Product,187,17.46,8.297,353.40,1.935,3.141,6.549
-63.95628908,-31.30207446,1,nutrientes,NO Product,188,18.94,9.232,353.34,2.066,3.185,6.550
-63.95627855,-31.30188548,1,nutrientes,NO Product,189,20.58,10.26,353.28,2.115,3.223,6.554
-63.95628908,-31.30171449,1,nutrientes,NO Product,190,21.72,11.10,353.22,2.086,3.259,6.557
-63.95627855,-31.30152551,1,nutrientes,NO Product,191,22.18,11.47,353.17,2.102,3.293,6.559
-63.95628908,-31.30135452,1,nutrientes,NO Product,192,21.61,11.18,353.12,2.195,3.321,6.563
-63.95628908,-31.30117453,1,nutrientes,NO Product,193,20.49,10.49,353.08,2.347,3.345,6.563
-63.95627855,-31.30099455,1,nutrientes,NO Product,194,19.14,9.659,353.05,2.441,3.363,6.561
-63.95628908,-31.30081456,1,nutrientes,NO Product,195,18.13,8.925,353.02,2.370,3.374,6.557
-63.95628908,-31.30062558,1,nutrientes,NO Product,196,17.61,8.453,353.00,2.293,3.379,6.552
-63.95628908,-31.30045459,1,nutrientes,NO Product,197,17.33,8.155,352.99,2.226,3.370,6.546
-63.95628908,-31.30027461,1,nutrientes,NO Product,198,17.46,8.135,352.98,2.234,3.365,6.539
-63.95628908,-31.30008562,1,nutrientes,NO Product,199,17.68,8.309,352.97,2.272,3.357,6.533
-63.95628908,-31.29991463,1,nutrientes,NO Product,200,17.86,8.483,352.94,2.239,3.346,6.529
-63.95628908,-31.29972565,1,nutrientes,NO Product,201,17.98,8.701,352.92,2.126,3.332,6.527
-63.95628908,-31.29955466,1,nutrientes,NO Product,202,17.88,8.871,352.90,1.928,3.314,6.531
-63.95626802,-31.29936568,1,nutrientes,NO Product,203,18.07,9.215,352.89,1.687,3.290,6.542
-63.95625748,-31.29917669,1,nutrientes,NO Product,204,18.19,9.450,352.88,1.625,3.262,6.562
-63.95628908,-31.29901471,1,nutrientes,NO Product,205,18.47,9.696,352.89,1.632,3.225,6.599
-63.95627855,-31.29883472,1,nutrientes,NO Product,206,18.27,9.530,352.90,1.761,3.186,6.636
-63.95628908,-31.29865474,1,nutrientes,NO Product,207,18.18,9.262,352.92,1.907,3.143,6.676
-63.95628908,-31.29846575,1,nutrientes,NO Product,208,17.55,8.703,352.94,1.896,3.100,6.716
-63.95627855,-31.29829476,1,nutrientes,NO Product,209,17.06,8.210,352.97,1.794,3.059,6.754
-63.95628908,-31.29811478,1,nutrientes,NO Product,210,16.58,7.843,353.01,1.598,3.019,6.789
-63.95628908,-31.29792579,1,nutrientes,NO Product,211,16.34,7.701,353.06,1.447,2.982,6.818
-63.95628908,-31.29775481,1,nutrientes,NO Product,212,16.24,7.762,353.10,1.315,2.948,6.842
-63.95628908,-31.29757482,1,nutrientes,NO Product,213,16.36,7.987,353.15,1.217,2.917,6.862
-63.95628908,-31.29739484,1,nutrientes,NO Product,214,16.39,8.159,353.18,1.052,2.918,6.894
-63.95629962,-31.29723028,1,nutrientes,NO Product,215,16.43,8.299,353.21,0.979,2.895,6.907
-63.95612054,-31.31822142,1,nutrientes,NO Product,216,16.76,7.777,354.53,1.262,2.489,6.476
-63.95607840,-31.31809318,1,nutrientes,NO Product,217,16.81,7.789,354.53,1.330,2.475,6.459
-63.95607840,-31.31790420,1,nutrientes,NO Product,218,16.83,7.776,354.53,1.421,2.462,6.448
-63.95607840,-31.31772421,1,nutrientes,NO Product,219,16.89,7.770,354.51,1.554,2.450,6.435
-63.95607840,-31.31755322,1,nutrientes,NO Product,220,16.88,7.687,354.50,1.723,2.437,6.423
-63.95607840,-31.31737324,1,nutrientes,NO Product,221,16.90,7.658,354.49,1.815,2.425,6.409
-63.95607840,-31.31719325,1,nutrientes,NO Product,222,16.88,7.630,354.47,1.789,2.414,6.397
-63.95607840,-31.31700427,1,nutrientes,NO Product,223,16.77,7.602,354.46,1.814,2.403,6.386
-63.95607840,-31.31683328,1,nutrientes,NO Product,224,16.64,7.627,354.44,1.831,2.404,6.379
-63.95607840,-31.31665330,1,nutrientes,NO Product,225,16.63,7.688,354.42,1.813,2.385,6.380
-63.95607840,-31.31647331,1,nutrientes,NO Product,226,16.78,7.781,354.40,1.882,2.381,6.382
-63.95607840,-31.31629332,1,nutrientes,NO Product,227,16.99,7.915,354.39,1.890,2.387,6.384
-63.95607840,-31.31611334,1,nutrientes,NO Product,228,17.41,8.132,354.37,2.021,2.385,6.392
-63.95607840,-31.31592435,1,nutrientes,NO Product,229,17.92,8.455,354.35,2.273,2.384,6.400
-63.95607840,-31.31575337,1,nutrientes,NO Product,230,18.72,8.945,354.34,2.489,2.384,6.409
-63.95607840,-31.31557338,1,nutrientes,NO Product,231,19.36,9.466,354.33,2.647,2.383,6.417
-63.95607840,-31.31539340,1,nutrientes,NO Product,232,20.09,9.982,354.33,2.707,2.382,6.425
-63.95607840,-31.31521341,1,nutrientes,NO Product,233,20.43,10.27,354.34,2.724,2.378,6.433
-63.95607840,-31.31503343,1,nutrientes,NO Product,234,20.44,10.31,354.34,2.716,2.369,6.441
-63.95607840,-31.31485344,1,nutrientes,NO Product,235,19.76,9.893,354.35,2.608,2.357,6.448
-63.95607840,-31.31467345,1,nutrientes,NO Product,236,19.13,9.463,354.37,2.458,2.336,6.457
-63.95606787,-31.31448447,1,nutrientes,NO Product,237,18.27,8.975,354.40,2.324,2.316,6.466
-63.95607840,-31.31431348,1,nutrientes,NO Product,238,17.66,8.538,354.43,2.188,2.289,6.473
-63.95607840,-31.31412450,1,nutrientes,NO Product,239,17.31,8.275,354.46,2.129,2.255,6.477
-63.95606787,-31.31395351,1,nutrientes,NO Product,240,17.16,8.087,354.49,1.906,2.229,6.482
-63.95607840,-31.31377353,1,nutrientes,NO Product,241,16.98,7.908,354.52,1.703,2.204,6.485
-63.95606787,-31.31358454,1,nutrientes,NO Product,242,16.89,7.812,354.55,1.591,2.180,6.487
-63.95606787,-31.31341356,1,nutrientes,NO Product,243,16.78,7.696,354.58,1.590,2.157,6.488
-63.95607840,-31.31322457,1,nutrientes,NO Product,244,16.55,7.581,354.61,1.586,2.132,6.493
-63.95607840,-31.31304458,1,nutrientes,NO Product,245,16.19,7.485,354.63,1.637,2.115,6.493
-63.95607840,-31.31287360,1,nutrientes,NO Product,246,15.63,7.350,354.65,1.605,2.101,6.494
-63.95607840,-31.31269361,1,nutrientes,NO Product,247,14.96,7.132,354.68,1.490,2.093,6.493
-63.95607840,-31.31251363,1,nutrientes,NO Product,248,14.36,6.967,354.72,1.398,2.086,6.497
-63.95607840,-31.31232464,1,nutrientes,NO Product,249,13.83,6.769,354.77,1.111,2.083,6.501
-63.95615214,-31.31222413,1,nutrientes,NO Product,250,13.67,6.691,354.81,0.996,2.083,6.507
-63.95614160,-31.31172691,1,nutrientes,NO Product,251,14.14,6.882,354.93,0.976,2.078,6.542
-63.95607840,-31.31161370,1,nutrientes,NO Product,252,14.30,6.967,354.94,1.207,2.087,6.548
-63.95607840,-31.31143371,1,nutrientes,NO Product,253,14.89,7.257,354.92,1.173,2.099,6.554
-63.95607840,-31.31125373,1,nutrientes,NO Product,254,15.55,7.477,354.89,1.355,2.116,6.548
-63.95607840,-31.31107374,1,nutrientes,NO Product,255,15.69,7.558,354.87,1.394,2.133,6.557
-63.95607840,-31.31089376,1,nutrientes,NO Product,256,15.80,7.606,354.85,1.567,2.153,6.567
